Product Name,Printing,Rarity,Market Price
Gar Saxon - Viceroy of Mandalore,Normal,Common,$0.14
Qi'ra - I Alone Survived,Normal,Rare,$0.26
Finn - This is a Rescue,Normal,Rare,$0.18
Rey - More Than a Scavenger,Normal,Common,$0.18
Hondo Ohnaka - That's Good Business,Normal,Common,$0.12
Jabba the Hutt - His High Exaltedness,Normal,Rare,$0.33
Boba Fett - Daimyo,Normal,Common,$0.20
Hunter - Outcast Sergeant,Normal,Rare,$0.31
Bossk - Hunting His Prey,Normal,Common,$0.13
Kylo Ren - Rash and Deadly,Normal,Rare,$0.28
Bo-Katan Kryze - Princess in Exile,Normal,Rare,$0.28
Han Solo - Worth the Risk,Normal,Common,$0.18
Cad Bane - He Who Needs No Introduction,Normal,Common,$0.15
Doctor Aphra - Rapacious Archaeologist,Normal,Rare,$0.16
Fennec Shand - Honoring the Deal,Normal,Common,$0.12
Lando Calrissian - With Impeccable Taste,Normal,Rare,$0.25
Remnant Science Facility // Experience,Normal,Common,$0.05
Remnant Science Facility // Shield,Normal,Common,$0.10
Remote Village // Experience,Normal,Common,$0.10
Remote Village // Shield,Normal,Common,$0.08
Maz Kanata's Castle // Experience,Normal,Common,$0.11
Maz Kanata's Castle // Shield,Normal,Common,$0.07
Nevarro City // Shield,Normal,Common,$0.12
Death Watch Hideout // Experience,Normal,Common,$0.08
Death Watch Hideout // Shield,Normal,Common,$0.11
Spice Mines // Experience,Normal,Common,$0.09
Spice Mines // Shield,Normal,Common,$0.10
Coronet City // Experience,Normal,Common,$0.12
Coronet City // Shield,Normal,Common,$0.06
Jabba's Palace // Experience,Normal,Common,$0.11
Jabba's Palace // Shield,Normal,Common,$0.16
Hylobon Enforcer,Foil,Common,$0.19
Hylobon Enforcer,Normal,Common,$0.06
Doctor Pershing - Experimenting With Life,Foil,Rare,$0.87
Doctor Pershing - Experimenting With Life,Normal,Rare,$0.46
Pyke Sentinel,Foil,Common,$0.27
Pyke Sentinel,Normal,Common,$0.07
The Client - Dictated by Discretion,Foil,Uncommon,$0.43
The Client - Dictated by Discretion,Normal,Uncommon,$0.21
Lom Pyke - Dealer in Truths,Foil,Rare,$0.84
Lom Pyke - Dealer in Truths,Normal,Rare,$0.63
Synara San - Loyal to Kragan,Foil,Uncommon,$0.54
Synara San - Loyal to Kragan,Normal,Uncommon,$0.17
Supercommando Squad,Foil,Common,$0.26
Supercommando Squad,Normal,Common,$0.10
Clan Saxon Gauntlet,Foil,Uncommon,$0.35
Clan Saxon Gauntlet,Normal,Uncommon,$0.14
First Light - Headquarters of the Crimson Dawn,Foil,Rare,$1.61
First Light - Headquarters of the Crimson Dawn,Normal,Rare,$0.96
Supreme Leader Snoke - Shadow Ruler,Foil,Legendary,$24.68
Supreme Leader Snoke - Shadow Ruler,Normal,Legendary,$24.04
Brutal Traditions,Foil,Uncommon,$0.62
Brutal Traditions,Normal,Uncommon,$0.15
Clan Wren Rescuer,Foil,Common,$0.50
Clan Wren Rescuer,Normal,Common,$0.06
Kuiil - I Have Spoken,Foil,Uncommon,$0.50
Kuiil - I Have Spoken,Normal,Uncommon,$0.17
Concord Dawn Interceptors,Foil,Uncommon,$0.74
Concord Dawn Interceptors,Normal,Uncommon,$0.28
Village Protectors,Foil,Common,$0.25
Village Protectors,Normal,Common,$0.09
Rose Tico - Dedicated to the Cause,Foil,Uncommon,$0.62
Rose Tico - Dedicated to the Cause,Normal,Uncommon,$0.17
Rey - Keeping the Past,Foil,Legendary,$19.30
Rey - Keeping the Past,Normal,Legendary,$17.34
The Armorer - Survival Is Strength,Foil,Uncommon,$1.23
The Armorer - Survival Is Strength,Normal,Uncommon,$0.20
