Product Name,Printing,Rarity,Market Price
Hylobon Enforcer,Foil,Common,$0.19
Doctor Pershing - Experimenting With Life,Foil,Rare,$0.91
Pyke Sentinel,Foil,Common,$0.24
The Client - Dictated by Discretion,Foil,Uncommon,$0.41
Lom Pyke - Dealer in Truths,Foil,Rare,$0.83
Synara San - Loyal to Kragan,Foil,Uncommon,$0.49
Supercommando Squad,Foil,Common,$0.26
Clan Saxon Gauntlet,Foil,Uncommon,$0.35
First Light - Headquarters of the Crimson Dawn,Foil,Rare,$1.64
Supreme Leader Snoke - Shadow Ruler,Foil,Legendary,$25.06
Brutal Traditions,Foil,Uncommon,$0.62
Clan Wren Rescuer,Foil,Common,$0.33
Kuiil - I Have Spoken,Foil,Uncommon,$0.50
Concord Dawn Interceptors,Foil,Uncommon,$0.68
Village Protectors,Foil,Common,$0.25
Rose Tico - Dedicated to the Cause,Foil,Uncommon,$0.62
Rey - Keeping the Past,Foil,Legendary,$18.16
The Armorer - Survival Is Strength,Foil,Uncommon,$1.13
Gentle Giant,Foil,Common,$0.18
"The Mandalorian - Wherever I Go, He Goes",Foil,Legendary,$25.75
Chewbacca - Pykesbane,Foil,Rare,$1.51
Mystic Reflection,Foil,Rare,$0.71
Sugi - Hired Guardian,Foil,Rare,$0.75
Second Chance,Foil,Legendary,$8.49
Midnight Repairs,Foil,Uncommon,$0.29
Moisture Farmer,Foil,Common,$0.48
Follower of The Way,Foil,Common,$0.15
Rickety Quadjumper,Foil,Common,$0.12
Val - Loyal to the End,Foil,Rare,$0.84
Embo - Stoic and Resolute,Foil,Uncommon,$0.34
HWK-290 Freighter,Foil,Common,$0.14
Wroshyr Tree Tender,Foil,Common,$0.22
Niima Outpost Constables,Foil,Common,$0.95
Survivors' Gauntlet,Foil,Rare,$1.00
Vigilant Pursuit Craft,Foil,Common,$0.30
Cargo Juggernaut,Foil,Common,$1.03
Fenn Rau - Protector of Concord Dawn,Foil,Uncommon,$0.77
Public Enemy,Foil,Common,$0.25
Foundling,Foil,Common,$0.34
Top Target,Foil,Uncommon,$0.16
Imprisoned,Foil,Rare,$1.00
Mandalorian Armor,Foil,Rare,$1.40
Vambrace Grappleshot,Foil,Common,$0.26
Covert Strength,Foil,Common,$0.25
Unexpected Escape,Foil,Uncommon,$0.87
Evidence of the Crime,Foil,Rare,$0.76
Fell the Dragon,Foil,Uncommon,$0.60
Rival's Fall,Foil,Common,$0.27
Salacious Crumb - Obnoxious Pet,Foil,Uncommon,$1.05
Outland TIE Vanguard,Foil,Common,$0.36
Warbird Stowaway,Foil,Common,$0.18
Crosshair - Following Orders,Foil,Uncommon,$0.53
Ephant Mon - Head of Security,Foil,Rare,$0.86
Pirate Battle Tank,Foil,Common,$0.64
Maul - Shadow Collective Visionary,Foil,Rare,$15.89
Jabba's Rancor - Pateesa,Foil,Uncommon,$0.85
Finalizer - Might of the First Order,Foil,Legendary,$7.19
Remnant Reserves,Foil,Uncommon,$0.21
Palpatine's Return,Foil,Rare,$1.92
Clone Deserter,Foil,Common,$0.48
Maz Kanata - Pirate Queen,Foil,Rare,$1.22
Freetown Backup,Foil,Uncommon,$0.68
Sundari Peacekeeper,Foil,Uncommon,$0.88
