Product Name,Printing,Rarity,Market Price
Rey - More Than a Scavenger (Showcase),Foil,Common,$465.15
Kylo Ren - Rash and Deadly (Showcase),Foil,Rare,$458.37
Jabba the Hutt - His High Exaltedness (Showcase),Foil,Rare,$456.07
Cad Bane - He Who Needs No Introduction (Showcase),Foil,Common,$398.87
Rey - More Than a Scavenger (Showcase),Foil,Common,$390.00
Lando Calrissian - With Impeccable Taste (Showcase),Foil,Rare,$376.32
Han Solo - Worth the Risk (Showcase),Foil,Common,$371.46
Kylo Ren - Rash and Deadly (Showcase),Foil,Rare,$370.00
Boba Fett - Daimyo (Showcase),Foil,Common,$365.78
Qi'ra - I Alone Survived (Showcase),Foil,Rare,$353.02
Bo-Katan Kryze - Princess in Exile (Showcase),Foil,Rare,$338.60
Bossk - Hunting His Prey (Showcase),Foil,Common,$314.55
Qi'ra - I Alone Survived (Showcase),Foil,Rare,$310.00
Fennec Shand - Honoring the Deal (Showcase),Foil,Common,$279.00
Boba Fett - Daimyo (Showcase),Foil,Common,$270.00
Hondo Ohnaka - That's Good Business (Showcase),Foil,Common,$261.82
Bo-Katan Kryze - Princess in Exile (Showcase),Foil,Rare,$250.00
Gar Saxon - Viceroy of Mandalore (Showcase),Foil,Common,$245.19
Hunter - Outcast Sergeant (Showcase),Foil,Rare,$224.64
Hunter - Outcast Sergeant (Showcase),Foil,Rare,$219.99
Doctor Aphra - Rapacious Archaeologist (Showcase),Foil,Rare,$209.64
Hondo Ohnaka - That's Good Business (Showcase),Foil,Common,$206.35
Finn - This is a Rescue (Showcase),Foil,Rare,$153.86
"The Mandalorian - Wherever I Go, He Goes (Hyperspace)",Foil,Legendary,$109.51
The Darksaber (Hyperspace),Foil,Legendary,$109.43
Poe Dameron - Quick to Improvise (Hyperspace),Foil,Legendary,$105.52
Poe Dameron - Quick to Improvise (Hyperspace),Foil,Legendary,$103.82
Krayt Dragon (Hyperspace),Foil,Legendary,$101.34
Kylo Ren - Killing the Past (Hyperspace),Foil,Legendary,$83.78
Poe Dameron - Quick to Improvise (Hyperspace),Normal,Legendary,$70.00
Rey - Keeping the Past (Hyperspace),Foil,Legendary,$67.89
Poe Dameron - Quick to Improvise (Hyperspace),Normal,Legendary,$65.19
Krayt Dragon (Hyperspace),Normal,Legendary,$60.10
Maul - Shadow Collective Visionary (Hyperspace),Foil,Rare,$58.73
Poe Dameron - Quick to Improvise,Foil,Legendary,$56.98
Supreme Leader Snoke - Shadow Ruler (Hyperspace),Foil,Legendary,$51.94
Kylo's TIE Silencer - Ruthlessly Efficient (Hyperspace),Foil,Legendary,$51.41
Poe Dameron - Quick to Improvise,Foil,Legendary,$50.75
Maul - Shadow Collective Visionary (Hyperspace),Foil,Rare,$49.99
